Factory Wheel Warehouse,,,
Gross Sales By Product,,,
Date Range: 04/01/2021 - 06/30/2021,,,
 ,,,
Product,,Sales,
ALY67418U45 - WL;11-13 PANAM;20X11.5;15SPBLACK REAR,,519.60,
ALY86193U30 - WL;16-19 X5M/X6M;20X11.5;10SPMACHD/DARK CHAR MET;REAR,,519.60,
ALY03399U80 - WL;00-3 F150 PU;16X7;5SWRL SPK04 FORD PICKUP HERITAGE,,516.54,
ALY85270U45 - WL;13 MB C CLS;18X8.5;7 DBL SPMACHINED AND BLACK REAR,,510.00,
ALY05533U90 - WL;12-13 CAM ZL1;20X11;5 SPKPOLISHED AND SILVER REAR,,505.99,
ALY85549U45 - WL;17-18 GLC;21X8.5;10SPK,,505.99,
ALY85661U45 - WL RR;19 E-CLASS;20x9;5 DBLMACHINED/GLOSS BLACK,,505.99,
ALY59876U30 - WL;10-19 XJ/XK;20X10;7YSPOKESREAR MACHD CORE-CHARCOAL,,500.00,
ALY73766U35 - WL;14 Q50;19X8.5;5 TRI SPKMACHD AND MED CHARC MET,,500.00,
ALY96930U30*CORE - TESLA 2020 MODEL Y 21X9.5 40MM 118822600B dark charcoal,,500.00,
ALY98159U77 - 2009-2010 Bentley Continental (98159),,500.00,
ALY86012U30 - WL;14-19 4 SERS;19X8;5 TRI SPMACHINED AND CHARCOAL/FRONT,,494.99,
ALY59047U45 - WL;18-19 RS5;20x9;5 SPLITMACHINED BLACK METALLIC,,493.73,
ALY85258U20 - WL;12-13 E CLS;18X8.5;10 SPKALL PAINTED SILVER FRONT,,490.81,
ALY74332U30 - WL;16-18 ES350;17X7;10DBLMACHD DRK CHARC MET,,490.03,
ALY71409U20 - WL;11-19 5 SERIES;18X8;15SPALL PAINTED SILVER,,489.14,
ALY75236U30 - WL;19-20 COROLLA;18x8;5 DBLMACHD/DARK CHARCOAL MET,,488.27,
ALY85058U10 - WL;08-15 C CLASS;18X8;5DBL SPKFRONT MACHINED AND SILVER,,485.00,
STL69512U45 - WL;07-18 TUNDRA;18X8;18 HOLES,,484.04,
ALY74731U20N - ALY74731U20N,,481.98,
STL70169U45 - STL70169U45,,480.02,
"September 13, 2021 2:48:24 PM EDT",Page 4 of ,,21
Factory Wheel Warehouse,,,
Gross Sales By Product,,,
Date Range: 04/01/2021 - 06/30/2021,,,
 ,,,
Product,,Sales,
STL69625U45 - WL;13-18 RAV4;17X6.5;5 SPK,,476.81,
100 grit - sand paper,,475.68,
ALY70423U10 - WL;16-19 XC90;21X9;8SPKMACHD AND SPARK SILVER,,475.00,
ALY02479U20N - ALL PTD BRIGHT SILV METALLICWL;13-16 DART;18X7.5;5 SPK,,471.40,
STL99024U45 - WL STL;03-07 WRNGLR;15X7;5SP,,465.85,
STL08095U20 - WL;11-19SLV/SIE;17X7.5;5SLT,,461.64,
STL69202U45 - WL;4 RUNNER 86-95;15X6;BLACK,,461.47,
ALY85335U30 - WL;14-18 CLA CLS;18X7.5;5DBLMACHINED AND CHARCOAL SILVER,,461.19,
ALY02528U45 - WL;15-19 CHALGR;20X9.5;7DBL SALL PAINTED BLACK,,455.39,
ALY68808U10 - WL;13-14 LEG;17X7.5;10 SPKMACHD AND BRIGHT SILV MET,,453.86,
STL62624U20 - WL;12-19 NIS NV;17X7.5;16HOL,,451.71,
ALY71414U45 - WL;11-19 5SER;19X8.5;5DBLSPFRONT GLOSS BLACK,,450.00,
STL08072U45 - WL;06-13 SIERRA 1500;17X7.55,,445.94,
ALY97879U79 - ALY97879U79,,442.27,
ALY68872U35 - WL;19-20 ASCENT;20x7.5;5 DBLMACHD/MED CHARCOAL METALLIC,,439.99,
ALY75222U45N - 15SPK;MACHD AND GLOSS BLACKWL;REPLICA;18-20 CAMRY;19x8,,435.90,
ALY61688U45 - WL;17 500;15X6;10SPKALL PAINTED GLOSS BLACK,,432.64,
ALY03905U20 - WL;13-18 FOCUS;18X8;5 Y SPKALL PAINTED SPARKLE SILVER,,430.06,
ALY04597U20 - WL;06-07 CTS;18x8;12SPKALL PAINTED SILVER,,430.06,
ALY65190U10 - WL;98-9 C-CLASS;15X7;8HOLEMACHINED AND SILVER,,430.00,
ALY69558U78N - ALL PNTD SMOKED HYPER SILVERWL;9-15 VENZA;20X7.5;5SPK,,427.78,
ALY02508U20 - WL;15-19 CHALLENGER;20x8;5 SPKALL PAINT BRIGHT SILV BLK PRIM,,426.68,
ALY71590U10 - WL;10-17 5/7SER;21X10;20SPKMACHD AND MED SILV MET;RR,,425.03,
"ALY59444U45 - 2002-2006 BMW X5 17""x7.5"" (59444)",,425.00,
ALY05477U77N - BRIT HYPERSILVER FF;NW REPLICAWL;11-14CRUZ;18X7.5;5SPLT S,,424.40,
ALY69951U10 - WL;13-7 CC;17X8;5 SPKMACHINED AND LIGHT SILVER,,423.16,
ALY59695U10 - WL;98-99 XJ8;18 INCHSILVER,,423.02,
STL02190U45 - STL02190U45,,420.28,
ALY64048U25*CORE - WL;13-15 ACCORD;18X8;10VNMACH AND MED CHAR MET TEXT,,420.00,
ALY09132A20 - WL;14-18 CHEROKEE;18x7;5 DBL ALL PTD SILV W/BLACK PRIMER,,418.14,
ALY59839U20 - WL;09 JAG XF;20X9.5;5 WIDE SPKREAR/ ALL PAINTED SILVER,,415.00,
