Factory Wheel Warehouse,,,,,,,
Part Average Cost,,,,,,,
 ,,,,,,,
 ,,,,,,,
Part,Description,Quantity On Hand,,, ,Average Cost,
Part,Description,Quantity On Hand,,, ,Average Cost,
2091,"1998-2001 Chrysler Concorde 16""x7"" (2091)",0,,ea,,110.00,
2091-Core,"1998-2001 Chrysler Concorde 16""x7"" (2091)",0,,ea,,57.00,
2093u10,2093u10,0,,ea,,70.00,
2093u10-core,2093u10-core,0,,ea,,20.00,
2097u80,2097u80,0,,ea,,70.00,
2097u80-core,2097u80-core,0,,ea,,20.00,
2099u55,"1997-2000 Chrysler Sebring 16""x6.5"" (2099)",0,,ea,,71.00,
2099u55-Core,"1997-2000 Chrysler Sebring 16""x6.5"" (2099)",0,,ea,,17.00,
20x20x12 boxes,20x20x12 boxes,0,,ea,,3.96,
2100u20(CNC silver),2100u20(CNC silver),0,,ea,,70.00,
2100u20(CNC silver)-core,2100u20(CNC silver)-core,0,,ea,,19.00,
2104A10,2104A10,0,,ea,,70.00,
2104A10-core,2104A10-core,0,,ea,,20.00,
2105-core,2105-core,0,,ea,,0.00,
2105u20,2105u20,0,,ea,,50.00,
2105u20-Core,2105u20-Core,0,,ea,,0.00,
2108u10,2108u10 Wheel,0,,ea,,0.00,
2108u10-Core,2108u10-Core,0,,ea,,0.00,
2114u10(Silver),2114u10(Silver),0,,ea,,70.00,
2114u10(Silver)-core,2114u10(Silver)-core,0,,ea,,20.00,
2118u80,2118u80,0,,ea,,0.00,
2118u80-core,2118u80-core,0,,ea,,48.00,
2124u80,2124u80,0,,ea,,70.00,
2124u80-core,2124u80-core,0,,ea,,20.00,
2126,2126,0,,ea,,125.00,
2126u10(Silver),2126u10(Silver),0,,ea,,69.25,
2126u10(Silver)-core,2126u10(Silver)-core,0,,ea,,15.00,
2129,2000-2005 Dodge Neon (2129),0,,ea,,0.00,
2129-Core,2000-2005 Dodge Neon (2129),0,,ea,,0.00,
2129u10,2000-2005 Dodge Neon (2129),0,,ea,,74.00,
2129u10-core,2000-2005 Dodge Neon (2129),0,,ea,,20.00,
2131,Dodge Dakota/Durango 15x7 Steel Wheel,0,,ea,,0.00,
2132u10,2132u10,0,,ea,,70.00,
2132u10-core,2132u10-core,0,,ea,,20.00,
2133,"2002-2003 Dodge Durango 16""x8"" (2133)",0,,ea,,0.00,
2133u20,"2002-2003 Dodge Durango 16""x8"" (2133)",0,,ea,,71.25,
"September 13, 2021 2:44:28 PM EDT",,,Page 8 of ,,,,528
Factory Wheel Warehouse,,,,,,,
Part Average Cost,,,,,,,
 ,,,,,,,
 ,,,,,,,
Part,Description,Quantity On Hand,,, ,Average Cost,
2133u20-Core,"2002-2003 Dodge Durango 16""x8"" (2133)",0,,ea,,17.25,
2134,2134,0,,ea,,100.00,
2135a10-core,2135a10-core,0,,ea,,20.00,
2136u10(Silver),2136u10(Silver),0,,ea,,70.00,
2136u10(Silver)-core,2136u10(Silver)-core,0,,ea,,20.00,
2144,"2001-2003 Chrysler Sebring 16""x6.5"" (2144)",0,,ea,,100.00,
2144u20,"2001-2003 Chrysler Sebring 16""x6.5"" (2144)",0,,ea,,74.00,
2144u20-Core,"2001-2003 Chrysler Sebring 16""x6.5"" (2144)",0,,ea,,20.00,
2146u10(Silver),2146u10(Silver),0,,ea,,70.00,
2146u10(Silver)-core,2146u10(Silver)-core,0,,ea,,20.00,
2148u10(Silver),2148u10(Silver),0,,ea,,70.00,
2148u10(Silver)-core,2148u10(Silver)-core,0,,ea,,20.00,
2149u10(Silver),2149u10(Silver),0,,ea,,70.00,
2149u10(Silver)-core,2149u10(Silver)-core,0,,ea,,20.00,
2149u80,2149u80,0,,ea,,110.00,
2151,2151 Wheel,0,,ea,,0.00,
2151-Core,2151-Core,0,,ea,,0.00,
2151U10,2151U10,0,,ea,,70.00,
2151u10-core,"Chrysler Town&Country Plymouth Voyager 16"" 01-03 CNC Silver",0,,ea,,21.67,
2155u10,Dodge Caravan 16in Rim,0,,ea,,74.42,
2155u10-Core,2155u10-Core,0,,ea,,20.42,
2157,"1999-2003 Chrysler 300M 17""x7"" (2157)",0,,ea,,110.00,
2157-Core,"1999-2003 Chrysler 300M 17""x7"" (2157)",0,,ea,,0.00,
2157u20,"1999-2003 Chrysler 300M 17""x7"" (2157)",0,,ea,,74.00,
2157u20-core,"1999-2003 Chrysler 300M 17""x7"" (2157)",0,,ea,,20.00,
2165,2002-2003 Dodge Ram 1500 (2165),0,,ea,,110.00,
2165-Core,2002-2003 Dodge Ram 1500 (2165),0,,ea,,0.00,
2165u20,2002-2003 Dodge Ram 1500 (2165),0,,ea,,79.00,
2165u20-core,2002-2003 Dodge Ram 1500 (2165),0,,ea,,25.00,
