Part Number,Magento Quantity,Total Quantity,Lowest Cost,Highest Cost,Warehouse,Warehouse Cost,Coast,Coast Cost,Perfection,Perfection Cost,Jante,Jante Cost,Road Ready,Road Ready Cost
ALY05651U85N,5,319,380.22,398.57,0,0,304,398.57,0,0,15,380.22,0,0
ALY05652U80,5,8,291.15,291.15,0,0,8,291.15,0,0,0,0,0,0
ALY05657U10,5,43,229.65,229.65,0,0,43,229.65,0,0,0,0,0,0
ALY05658U35N,5,190,304.57,333.22,0,0,168,304.57,0,0,22,333.22,0,0
ALY05666U85N,5,115,416.25,488.8,0,0,99,488.8,0,0,16,416.25,0,0
ALY05667U85,5,35,378.24,378.24,0,0,35,378.24,0,0,0,0,0,0
ALY05671U35,5,19,165.85,165.85,0,0,19,165.85,0,0,0,0,0,0
ALY05672U20,5,17,229.65,229.65,0,0,17,229.65,0,0,0,0,0,0
ALY05705U85,5,16,527.68,527.68,0,0,16,527.68,0,0,0,0,0,0
ALY05709U85N,5,42,357.58,393.77,0,0,17,393.77,0,0,25,357.58,0,0
ALY05710U,5,22,12.5,12.5,0,0,22,12.5,0,0,0,0,0,0
ALY05710U20,5,50,165.85,165.85,0,0,50,165.85,0,0,0,0,0,0
ALY05710U20N,5,230,203.11,253.46,0,0,205,203.11,0,0,25,253.46,0,0
ALY05712U,5,86,12.5,139.0,0,0,79,12.5,7,139.0,0,0,0,0
ALY05712U20,5,73,165.85,165.85,0,0,73,165.85,0,0,0,0,0,0
ALY05712U20N,5,833,164.01,200.26,0,0,808,200.26,0,0,25,164.01,0,0
ALY05714U20,5,39,165.85,165.85,0,0,39,165.85,0,0,0,0,0,0
ALY05715U,5,117,12.5,139.0,0,0,101,12.5,16,139.0,0,0,0,0
ALY05715U20,5,164,165.85,165.85,0,0,164,165.85,0,0,0,0,0,0
ALY05718U77N,5,27,275.16,287.64,0,0,11,275.16,0,0,16,287.64,0,0
ALY05719U45,4,4,165.85,165.85,0,0,4,165.85,0,0,0,0,0,0
